Student Number;BES 220 (S2);BSS 310 (S1);CHM 171 (S1);CHM 172 (S2);CIL 111 (S1);CIL 121 (S2);EBN 111 (S1);EBN 122 (S2);EIR 221 (S2);FSK 116 (S1);FSK 176 (S2);JCP 203 (Y);JPO 110 (S1);JPO 112 (S1);JPO 113 (S1);JPO 116 (S1);JPO 120 (S2);JPO 123 (S2);JPO 125 (S2);JPO 126 (S2);MGC 110 (S1);MIA 320 (S2);MJJ 210 (S1);MKM 321 (S2);MOW 217 (S1);MOW 227 (S2);MOW 312 (S1);MOW 323 (S2);MPR 213 (S1);MPY 315 (S1);MSD 210 (S1);MSY 310 (S1);MTV 310 (S1);MTX 221 (S2);MTX 311 (S1);MVR 320 (S2);NMC 113 (S1);NMC 123 (S2);SNV 111 (S1);SNV 121 (S2);SWK 122 (R) (S2);SWK 122 (S2);SWK 210 (S1);SWP 121 (S2);WTW 158 (S1);WTW 161 (S2);WTW 168 (R) (S2);WTW 168 (S2);WTW 238 (R) (S2);WTW 238 (S2);WTW 256 (S1);WTW 258 (R) (S1);WTW 258 (S1);WTW 263 (S2);WWP 121 (S2);Target
10287567;53.0;57.0;63.0;;77.0;79.0;;98.0;;;93.0;87.0;;;;;;;;;55.0;78.0;;;;;;;;;85.0;;;;;;65.0;;56.0;70.0;;69.0;;;93.0;96.0;;88.0;;76.0;81.0;;88.0;67.0;;Graduated_0
10296345;0.0;;50.0;;;75.0;;52.0;41.0;50.0;42.0;82.0;;;;;;;;;54.0;;;;;;;;40.0;;;;;;;;51.0;;;67.0;;0.0;;;;50.0;51.0;40.0;;;36.0;;46.0;0.0;0.0;Discontinued
10308688;50.0;67.0;;53.0;;;56.0;;;58.0;;98.0;72.0;60.0;61.0;71.0;73.0;53.0;68.0;62.0;62.0;74.0;;;;;;;;;52.0;;;;;;;41.0;;;;52.0;;;51.0;51.0;70.0;41.0;61.0;41.0;41.0;53.0;34.0;50.0;;Active (BEng)
10310607;;53.0;;64.0;68.0;;33.0;44.0;;;53.0;67.0;50.0;50.0;55.0;70.0;60.0;56.0;56.0;75.0;50.0;61.0;69.0;;47.0;46.0;;;;0.0;50.0;;36.0;43.0;;;;50.0;;;58.0;36.0;;;58.0;40.0;71.0;43.0;31.0;37.0;52.0;53.0;35.0;58.0;0.0;Discontinued
10313088;41.0;50.0;67.0;;;79.0;;63.0;;;68.0;79.0;;;;;;;;;52.0;66.0;;;;;;;44.0;;50.0;;65.0;67.0;;;57.0;;0.0;;;50.0;56.0;;78.0;71.0;;68.0;67.0;40.0;56.0;;60.0;54.0;;Graduated_0
10315162;;;;0.0;;;35.0;;;12.0;36.0;;;;;;;;;;50.0;;;;;;;;;;;;;;;;;;50.0;67.0;;;;;36.0;0.0;;;;;;;;;0.0;Graduated (T)
10328981;0.0;0.0;48.0;;76.0;64.0;;55.0;;;68.0;91.0;;;;;;;;;50.0;;;;;;;;51.0;;0.0;;0.0;45.0;;;50.0;;;;55.0;0.0;0.0;;;64.0;;58.0;;;0.0;64.0;40.0;0.0;;Discontinued
10337343;43.0;;50.0;;72.0;77.0;33.0;0.0;40.0;;50.0;81.0;;;;;;;;;56.0;;;;;;;;40.0;;;;;;;;32.0;50.0;59.0;72.0;;38.0;;;50.0;54.0;50.0;0.0;;;30.0;;;;0.0;Discontinued
10338005;;;34.0;;58.0;62.0;;27.0;;;50.0;91.0;;;;;;;;;55.0;;;;;;;;;;;;;;;;31.0;;;;;34.0;;0.0;52.0;51.0;62.0;41.0;;;45.0;;29.0;30.0;;Discontinued
10357522;51.0;75.0;;50.0;;85.0;50.0;;;60.0;;80.0;;;;;;;;;60.0;;82.0;;;;;;70.0;;;;;;;;;38.0;68.0;74.0;;37.0;;;55.0;37.0;;50.0;;;;;;;0.0;Graduated (T)
10371002;61.0;;50.0;;;75.0;;53.0;;;54.0;92.0;;;;;;;;;65.0;;;;;;;;67.0;;;;;;;;50.0;;75.0;64.0;;39.0;57.0;0.0;53.0;60.0;;50.0;;58.0;50.0;;72.0;59.0;;Graduated_1
