Student Number;BES 220 (S2);BSS 310 (S1);CHM 171 (S1);CHM 172 (S2);CIL 111 (S1);CIL 121 (S2);EBN 111 (S1);EBN 122 (S2);EIR 221 (S2);FSK 116 (S1);FSK 176 (S2);JCP 203 (Y);JPO 110 (S1);JPO 112 (S1);JPO 113 (S1);JPO 116 (S1);JPO 120 (S2);JPO 123 (S2);JPO 125 (S2);JPO 126 (S2);MGC 110 (S1);MIA 320 (S2);MJJ 210 (S1);MKM 321 (S2);MOW 217 (S1);MOW 227 (S2);MOW 312 (S1);MOW 323 (S2);MPR 213 (S1);MPY 315 (S1);MSD 210 (S1);MSY 310 (S1);MTV 310 (S1);MTX 221 (S2);MTX 311 (S1);MVR 320 (S2);NMC 113 (S1);NMC 123 (S2);SNV 111 (S1);SNV 121 (S2);SWK 122 (R) (S2);SWK 122 (S2);SWK 210 (S1);SWP 121 (S2);WTW 158 (S1);WTW 161 (S2);WTW 168 (R) (S2);WTW 168 (S2);WTW 238 (R) (S2);WTW 238 (S2);WTW 256 (S1);WTW 258 (R) (S1);WTW 258 (S1);WTW 263 (S2);WWP 121 (S2);Target
11011883;50.0;68.0;53.0;44.0;;67.0;30.0;;;50.0;;73.0;;;;;;;;;50.0;69.0;;;58.0;;;;58.0;;50.0;;;50.0;;;50.0;0.0;67.0;66.0;;53.0;;;61.0;50.0;51.0;40.0;;56.0;52.0;69.0;40.0;61.0;0.0;Graduated_1
11012375;50.0;54.0;52.0;;;82.0;;58.0;;;63.0;91.0;;;;;;;;;75.0;71.0;;;;;;;;;56.0;;;;;;53.0;;60.0;68.0;;50.0;;;55.0;60.0;;51.0;;54.0;54.0;;50.0;64.0;;Graduated_1
11012383;44.0;40.0;57.0;;71.0;75.0;;67.0;;;53.0;90.0;;;;;;;;;50.0;60.0;;;;;;;;;38.0;;;;;;39.0;;;;;32.0;;;62.0;58.0;60.0;44.0;65.0;34.0;58.0;57.0;40.0;43.0;;Discontinued
11013258;71.0;60.0;;62.0;81.0;69.0;60.0;;68.0;59.0;;87.0;;;;;;;;;61.0;72.0;86.0;59.0;61.0;63.0;67.0;55.0;69.0;0.0;72.0;56.0;73.0;79.0;78.0;67.0;;50.0;79.0;74.0;;50.0;;;68.0;71.0;;59.0;;66.0;58.0;;63.0;67.0;0.0;Graduated_0
11013347;70.0;54.0;70.0;;;81.0;;53.0;;59.0;;94.0;;;;;;;;;50.0;;;;;;;;59.0;;;;;;;;;;77.0;70.0;;;52.0;;64.0;70.0;;61.0;;66.0;50.0;;50.0;69.0;0.0;Graduated (T)
11013402;;;50.0;;80.0;75.0;;41.0;;;50.0;;;;;;;;;;55.0;;;;;;;;;;;;;;;;31.0;;61.0;81.0;;;;;40.0;60.0;42.0;41.0;;;;;;;0.0;Graduated (T)
11014182;56.0;64.0;;70.0;85.0;75.0;64.0;;75.0;77.0;;93.0;;;;;;;;;76.0;73.0;88.0;70.0;62.0;71.0;70.0;59.0;86.0;0.0;50.0;74.0;73.0;73.0;72.0;63.0;;59.0;78.0;71.0;;54.0;;;81.0;72.0;;58.0;;58.0;56.0;;61.0;70.0;0.0;Discontinued
11016117;;;;0.0;;61.0;0.0;;;28.0;;;;;;;;;;;38.0;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0;0.0;;;;;;;;;0.0;Discontinued
11016192;;;;34.0;;;;;;50.0;;;71.0;;;50.0;60.0;;;43.0;;;;;;;;;;;;;;;;;;;;;;;;;34.0;;;0.0;;;;;;;0.0;Discontinued
11016389;50.0;61.0;53.0;;;;54.0;;51.0;;52.0;79.0;58.0;51.0;69.0;71.0;51.0;;54.0;67.0;61.0;75.0;;;;;;;57.0;;;;;;;;;;;;;64.0;55.0;;63.0;63.0;;50.0;;57.0;60.0;;62.0;69.0;0.0;Graduated_2
11016622;;;36.0;;;;;;;;;;41.0;;;36.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;Discontinued
11016702;56.0;;50.0;;;;50.0;;;;50.0;80.0;63.0;58.0;60.0;66.0;62.0;57.0;64.0;66.0;58.0;;;;;;;;74.0;;;;;;;;51.0;;;;;52.0;55.0;0.0;52.0;66.0;;50.0;;75.0;53.0;;50.0;46.0;;Graduated_2
11017920;74.0;60.0;;66.0;;81.0;69.0;;91.0;75.0;;95.0;;;;;;;;;86.0;72.0;68.0;64.0;79.0;74.0;62.0;75.0;93.0;0.0;67.0;73.0;73.0;86.0;73.0;67.0;;57.0;77.0;60.0;;72.0;;;85.0;80.0;;75.0;;68.0;70.0;;70.0;81.0;0.0;Graduated_0
11018039;54.0;50.0;;55.0;;82.0;51.0;;68.0;54.0;;82.0;;;;;;;;;50.0;76.0;74.0;66.0;51.0;64.0;68.0;73.0;61.0;0.0;58.0;64.0;74.0;58.0;63.0;70.0;;54.0;71.0;78.0;;50.0;;;62.0;70.0;71.0;46.0;;61.0;50.0;;53.0;50.0;0.0;Graduated_0
11018195;66.0;61.0;;54.0;;;53.0;;51.0;51.0;;85.0;63.0;61.0;66.0;67.0;61.0;65.0;67.0;75.0;66.0;67.0;76.0;58.0;59.0;59.0;57.0;63.0;56.0;0.0;57.0;53.0;59.0;63.0;72.0;73.0;;53.0;;;;56.0;;;55.0;52.0;77.0;42.0;;72.0;67.0;;57.0;50.0;0.0;Graduated_1
11018412;50.0;32.0;50.0;;;84.0;44.0;0.0;;;50.0;69.0;;;;;;;;;50.0;;;;;;;;;;0.0;;;;;;44.0;;62.0;66.0;59.0;0.0;;;62.0;50.0;50.0;0.0;;;0.0;0.0;0.0;32.0;;Discontinued
11018845;;;;;;68.0;34.0;;;34.0;;;;;;;;;;;64.0;;;;;;;;;;;;;;;;;;53.0;71.0;;;;;50.0;41.0;;;;;;;;;0.0;Discontinued
11018977;50.0;68.0;;46.0;;77.0;50.0;;58.0;52.0;;83.0;;;;;;;;;75.0;64.0;78.0;56.0;67.0;67.0;55.0;67.0;79.0;0.0;56.0;63.0;50.0;53.0;65.0;62.0;54.0;;59.0;67.0;69.0;38.0;;;52.0;50.0;59.0;34.0;;50.0;51.0;;54.0;50.0;0.0;Graduated_1
11018993;50.0;62.0;27.0;59.0;;75.0;;52.0;;;68.0;100.0;;;;;;;;;50.0;73.0;;;;;;;;;59.0;;;;;;50.0;;59.0;52.0;;38.0;;;63.0;43.0;;53.0;72.0;45.0;65.0;;68.0;44.0;;Discontinued
11019027;70.0;73.0;;53.0;;61.0;54.0;;;51.0;;90.0;;;;;;;;;56.0;77.0;;;68.0;;;;79.0;;63.0;;;71.0;;;;50.0;79.0;73.0;;;;;64.0;72.0;;57.0;;59.0;66.0;;60.0;64.0;0.0;Graduated_1
11019132;52.0;36.0;;42.0;;79.0;58.0;;52.0;55.0;;82.0;;;;;;;;;68.0;66.0;73.0;50.0;53.0;55.0;54.0;38.0;85.0;0.0;41.0;0.0;0.0;36.0;29.0;55.0;37.0;42.0;61.0;51.0;64.0;40.0;;;55.0;50.0;61.0;47.0;58.0;40.0;50.0;;52.0;50.0;0.0;Active (BEng)
11019345;66.0;;36.0;;;85.0;61.0;48.0;;;61.0;94.0;;;;;;;;;77.0;;;;;;;;89.0;;;;;;;;50.0;;77.0;80.0;;;53.0;0.0;50.0;54.0;;50.0;;50.0;47.0;65.0;40.0;52.0;;Graduated_1
11019353;60.0;50.0;;63.0;;79.0;54.0;;50.0;64.0;;99.0;;;;;;;;;75.0;66.0;75.0;53.0;62.0;68.0;58.0;56.0;82.0;0.0;57.0;54.0;52.0;62.0;62.0;63.0;;56.0;70.0;60.0;;50.0;;;67.0;60.0;;50.0;;52.0;51.0;;56.0;65.0;0.0;Graduated_0
11019418;39.0;50.0;;50.0;;72.0;50.0;;43.0;50.0;;82.0;;;;;;;;;57.0;65.0;76.0;59.0;37.0;77.0;56.0;68.0;59.0;0.0;54.0;60.0;50.0;50.0;78.0;51.0;;50.0;56.0;61.0;;;;;50.0;50.0;50.0;0.0;;50.0;46.0;62.0;47.0;55.0;0.0;Graduated_2
11019451;37.0;50.0;50.0;30.0;67.0;63.0;50.0;;;31.0;;97.0;;;;;;;;;52.0;73.0;;;41.0;;;;77.0;;47.0;;;54.0;;;;0.0;;;58.0;44.0;;;50.0;35.0;60.0;46.0;62.0;31.0;52.0;;59.0;50.0;0.0;Graduated_3
11019515;;;28.0;;;;;;;;26.0;;52.0;;;50.0;57.0;;;50.0;;;;;;;;;;;;;;;;;;;;;;;;;29.0;0.0;;32.0;;;;;;;0.0;Discontinued
11019566;50.0;;56.0;;;;50.0;;;;57.0;75.0;62.0;41.0;54.0;64.0;62.0;50.0;50.0;55.0;60.0;;;;;;;;0.0;;;;;;;;61.0;38.0;;;56.0;0.0;50.0;0.0;55.0;50.0;50.0;34.0;;52.0;41.0;55.0;40.0;53.0;;Graduated_2
11019892;58.0;;36.0;;67.0;65.0;;50.0;;;56.0;93.0;;;;;;;;;59.0;;;;;;;;44.0;;;;;;;;34.0;;;;;62.0;52.0;0.0;55.0;60.0;;50.0;;56.0;56.0;;50.0;70.0;;Graduated_1
11019957;66.0;64.0;50.0;;;75.0;;59.0;;;54.0;79.0;;;;;;;;;60.0;70.0;;;;;;;;;70.0;;;;;;54.0;;52.0;71.0;;;;;64.0;56.0;;50.0;;52.0;55.0;;54.0;59.0;;Graduated_1
11020149;57.0;63.0;;75.0;84.0;85.0;72.0;;82.0;78.0;;98.0;;;;;;;;;81.0;68.0;85.0;91.0;79.0;84.0;72.0;67.0;90.0;0.0;70.0;65.0;84.0;80.0;85.0;76.0;;56.0;77.0;70.0;;59.0;;;80.0;86.0;;78.0;;82.0;70.0;;86.0;75.0;0.0;Graduated_0
11020599;50.0;66.0;;50.0;;;64.0;;66.0;55.0;;100.0;61.0;70.0;75.0;73.0;65.0;55.0;78.0;67.0;77.0;65.0;62.0;50.0;61.0;71.0;65.0;73.0;71.0;0.0;56.0;65.0;54.0;66.0;71.0;65.0;;50.0;;;;70.0;;;64.0;63.0;;50.0;;50.0;50.0;;50.0;51.0;0.0;Graduated_1
11021773;57.0;50.0;;50.0;;75.0;44.0;;53.0;54.0;;86.0;;;;;;;;;50.0;78.0;76.0;62.0;59.0;68.0;69.0;71.0;66.0;0.0;55.0;69.0;64.0;71.0;84.0;59.0;;57.0;76.0;61.0;;;;;66.0;69.0;;58.0;;69.0;71.0;;53.0;67.0;0.0;Graduated_1
11021838;;54.0;32.0;38.0;;68.0;;40.0;;;50.0;75.0;;;;;;;;;70.0;68.0;;;50.0;;;;46.0;;50.0;;;50.0;;;;42.0;;;;50.0;;0.0;50.0;53.0;64.0;41.0;;50.0;40.0;;50.0;50.0;;Graduated_2
11021978;41.0;0.0;43.0;0.0;;70.0;35.0;;;36.0;52.0;0.0;;;;;;;;;67.0;;64.0;;0.0;;;;51.0;;0.0;;37.0;43.0;;;;50.0;;;;41.0;;;24.0;56.0;50.0;0.0;;0.0;50.0;50.0;41.0;0.0;0.0;Discontinued
11022036;50.0;64.0;27.0;;;;55.0;;51.0;;51.0;81.0;56.0;60.0;53.0;51.0;54.0;59.0;59.0;61.0;54.0;75.0;62.0;53.0;58.0;59.0;54.0;56.0;0.0;0.0;63.0;50.0;50.0;55.0;58.0;60.0;;41.0;;;;52.0;;0.0;50.0;47.0;;50.0;;50.0;50.0;66.0;43.0;46.0;;Graduated_1
11022095;50.0;;36.0;0.0;74.0;68.0;;32.0;;;37.0;95.0;;;;;;;;;57.0;;;;;;;;52.0;;;;;;;;41.0;;50.0;77.0;54.0;;50.0;0.0;50.0;40.0;50.0;0.0;50.0;33.0;41.0;62.0;47.0;35.0;;Active (BEng)
11022312;65.0;67.0;;69.0;82.0;80.0;58.0;;62.0;62.0;;97.0;;;;;;;;;72.0;72.0;87.0;61.0;51.0;66.0;61.0;57.0;50.0;0.0;57.0;61.0;63.0;66.0;66.0;59.0;;52.0;73.0;50.0;;53.0;;;68.0;82.0;;77.0;;68.0;65.0;;67.0;65.0;0.0;Graduated_1
11022362;50.0;67.0;;39.0;;75.0;57.0;;;56.0;;96.0;;;;;;;;;72.0;;87.0;;62.0;;;;63.0;0.0;57.0;;50.0;55.0;57.0;;50.0;;75.0;69.0;;62.0;;;69.0;50.0;;50.0;;50.0;45.0;;56.0;;0.0;Discontinued
11022613;;;31.0;;;75.0;;;;32.0;;;;;;;;;;;50.0;;;;;;;;;;;;;;;;;;80.0;56.0;;;;;61.0;0.0;;0.0;;;;;;;0.0;Graduated (T)
11022664;;;;41.0;;;;;;36.0;;;66.0;;;50.0;72.0;;;52.0;56.0;;;;;;;;;;;;;;;;;;;;;;;;34.0;34.0;;;;;;;;;0.0;Graduated (T)
11022702;;;0.0;;;;;;;;0.0;;34.0;;;33.0;0.0;;;19.0;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;0.0;;;;;;;0.0;Discontinued
11022745;64.0;62.0;72.0;;87.0;67.0;;75.0;66.0;70.0;;97.0;;;;;;;;;71.0;70.0;;;;;;;66.0;;;;;;;;;;;;;52.0;42.0;;85.0;84.0;;78.0;;55.0;60.0;;72.0;64.0;0.0;Graduated_0
11022770;50.0;70.0;;50.0;;79.0;52.0;;57.0;69.0;;87.0;;;;;;;;;69.0;70.0;74.0;73.0;56.0;63.0;57.0;71.0;94.0;0.0;38.0;71.0;58.0;53.0;50.0;50.0;;46.0;59.0;68.0;;31.0;;;77.0;64.0;;64.0;;50.0;55.0;;63.0;54.0;0.0;Graduated_2
11022869;38.0;53.0;30.0;;;75.0;;38.0;;;50.0;70.0;;;;;;;;;50.0;60.0;;;;;;;;;52.0;;;;;;37.0;;61.0;50.0;;47.0;;;50.0;52.0;51.0;32.0;63.0;48.0;52.0;;52.0;50.0;;Graduated_2
11022907;41.0;41.0;;40.0;;75.0;53.0;;;50.0;;92.0;;;;;;;;;72.0;60.0;61.0;50.0;53.0;59.0;50.0;57.0;69.0;0.0;52.0;50.0;50.0;42.0;41.0;56.0;56.0;0.0;52.0;76.0;54.0;44.0;;;53.0;50.0;52.0;43.0;;50.0;50.0;;52.0;50.0;0.0;Active (BEng)
11023148;;;35.0;34.0;;;50.0;;;50.0;;81.0;55.0;56.0;61.0;55.0;50.0;46.0;44.0;52.0;63.0;;50.0;;;;;;0.0;;;;;;;;;36.0;;;;38.0;;;27.0;42.0;56.0;35.0;;;36.0;;0.0;;0.0;Discontinued
11023172;60.0;50.0;;57.0;;82.0;50.0;;72.0;62.0;;77.0;;;;;;;;;62.0;82.0;69.0;73.0;58.0;67.0;66.0;60.0;79.0;0.0;57.0;58.0;58.0;53.0;64.0;52.0;;50.0;63.0;74.0;;35.0;;;60.0;56.0;65.0;35.0;50.0;36.0;33.0;55.0;40.0;51.0;0.0;Graduated_3
11023326;0.0;;;50.0;;;44.0;58.0;;51.0;;79.0;59.0;50.0;47.0;62.0;57.0;44.0;62.0;66.0;54.0;;68.0;;43.0;;;;;;36.0;;;;;;;;;;;56.0;;;52.0;63.0;;54.0;;;29.0;61.0;33.0;50.0;0.0;Discontinued
11023491;57.0;55.0;;61.0;;80.0;54.0;;71.0;63.0;;65.0;;;;;;;;;73.0;66.0;82.0;73.0;71.0;73.0;73.0;69.0;79.0;0.0;68.0;68.0;86.0;83.0;82.0;71.0;;55.0;75.0;71.0;;55.0;;;58.0;72.0;;57.0;;70.0;59.0;;72.0;75.0;0.0;Graduated_0
11023814;;;;82.0;;78.0;80.0;;;78.0;;;;;;;;;;;72.0;;;;;;;;;;;;;;;;;64.0;76.0;78.0;;62.0;;;82.0;84.0;;76.0;;;;;;;0.0;Graduated (T)
11023997;79.0;75.0;50.0;;;;66.0;;64.0;;69.0;97.0;58.0;75.0;71.0;78.0;75.0;;84.0;91.0;76.0;65.0;;;;;;;68.0;;;;;;;;;;;;;68.0;59.0;;63.0;75.0;;61.0;;66.0;70.0;;62.0;60.0;0.0;Graduated_1
11024012;50.0;54.0;;56.0;;78.0;40.0;;50.0;56.0;;65.0;;;;;;;;;70.0;61.0;65.0;53.0;56.0;66.0;54.0;63.0;50.0;0.0;50.0;56.0;59.0;33.0;67.0;56.0;;47.0;50.0;67.0;68.0;27.0;;;47.0;54.0;64.0;40.0;63.0;34.0;35.0;58.0;34.0;42.0;0.0;Active (BEng)
11024268;59.0;64.0;59.0;;;;61.0;;59.0;;68.0;87.0;55.0;52.0;50.0;64.0;50.0;58.0;61.0;60.0;56.0;75.0;;72.0;57.0;73.0;63.0;69.0;66.0;0.0;65.0;76.0;75.0;66.0;83.0;60.0;;52.0;;;;61.0;;;70.0;63.0;;63.0;;72.0;57.0;;66.0;64.0;0.0;Graduated_2
11024438;63.0;;53.0;;;87.0;;53.0;;;56.0;93.0;;;;;;;;;72.0;;;;;;;;84.0;;;;;;;;50.0;;80.0;67.0;;57.0;50.0;0.0;66.0;62.0;;52.0;;57.0;61.0;;61.0;70.0;;Graduated_0
11024552;74.0;;72.0;;;75.0;;81.0;;;71.0;82.0;;;;;;;;;58.0;;;;;;;;71.0;;;;;;;;56.0;;88.0;66.0;;63.0;60.0;0.0;75.0;78.0;;63.0;;86.0;71.0;;82.0;81.0;;Graduated_0
11024748;69.0;;51.0;;;78.0;;50.0;;;50.0;98.0;;;;;;;;;50.0;;;;;;;;69.0;;;;;;;;55.0;;70.0;69.0;;;56.0;0.0;56.0;51.0;70.0;42.0;;66.0;63.0;;56.0;71.0;;Graduated_1
11024756;;;;;;;;;;24.0;;;53.0;;;51.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.0;;;;;;;;;;;Discontinued
11024888;;;37.0;42.0;;75.0;40.0;52.0;;32.0;32.0;;;;;;;;;;51.0;;63.0;;;;;;67.0;;;;;;;;50.0;;66.0;68.0;41.0;39.0;;;34.0;40.0;47.0;33.0;;;;;;;0.0;Graduated (T)
11024900;94.0;92.0;70.0;;81.0;81.0;;85.0;;;92.0;100.0;;;;;;;;;79.0;85.0;;;;;;;90.0;;87.0;;93.0;92.0;;;69.0;;91.0;77.0;;77.0;89.0;;96.0;96.0;;82.0;;94.0;93.0;;92.0;95.0;;Graduated_0
11024934;93.0;90.0;69.0;;78.0;75.0;;76.0;;;90.0;100.0;;;;;;;;;80.0;80.0;;;;;;;76.0;;77.0;;89.0;89.0;;;68.0;;91.0;77.0;;68.0;80.0;;93.0;89.0;;78.0;;94.0;87.0;;92.0;96.0;;Graduated_0
11024969;71.0;67.0;68.0;;;78.0;;66.0;71.0;72.0;;94.0;;;;;;;;;68.0;67.0;;;;;;;70.0;;;;;;;;;;75.0;60.0;;60.0;42.0;;84.0;76.0;;54.0;;64.0;71.0;;71.0;69.0;0.0;Graduated_1
11025132;54.0;64.0;62.0;;;84.0;;72.0;55.0;68.0;;76.0;;;;;;;;;68.0;72.0;;;;;;;82.0;;;;;;;;;;79.0;61.0;;57.0;62.0;;70.0;58.0;;53.0;;59.0;58.0;;64.0;59.0;0.0;Graduated_1
11025167;55.0;55.0;60.0;;;70.0;;50.0;50.0;56.0;;97.0;;;;;;;;;52.0;69.0;;;;;;;74.0;;;;;;;;;;83.0;68.0;;50.0;0.0;;67.0;58.0;;59.0;;64.0;56.0;;50.0;53.0;0.0;Graduated_1
11025192;50.0;;;60.0;;80.0;52.0;;;64.0;;83.0;;;;;;;;;44.0;;;;;;;;37.0;;;;;;;;50.0;0.0;62.0;62.0;60.0;33.0;50.0;0.0;65.0;69.0;;67.0;50.0;36.0;52.0;56.0;40.0;50.0;;Discontinued
11025434;;;;;57.0;50.0;23.0;;;42.0;35.0;;;;;;;;;;52.0;;;;;;;;;;;;;;;;;;50.0;64.0;;;;;0.0;;;;;;;;;;0.0;Discontinued
11026082;69.0;78.0;;69.0;;78.0;69.0;;;68.0;;98.0;;;;;;;;;64.0;75.0;;;63.0;;;;78.0;;80.0;;;77.0;;;;67.0;85.0;58.0;;54.0;;;77.0;77.0;;77.0;;75.0;64.0;;75.0;82.0;0.0;Graduated_0
11026104;62.0;;38.0;64.0;;;52.0;;;;61.0;97.0;65.0;62.0;65.0;61.0;61.0;65.0;65.0;69.0;71.0;;;;;;;;63.0;;;;;;;;;59.0;;;;63.0;53.0;0.0;50.0;72.0;;50.0;;66.0;72.0;;69.0;66.0;;Graduated_1
11026554;62.0;64.0;72.0;;66.0;75.0;;59.0;62.0;51.0;;96.0;;;;;;;;;50.0;75.0;;;;;;;67.0;;;;;;;;;;68.0;68.0;;50.0;50.0;;80.0;61.0;;58.0;;63.0;62.0;;60.0;56.0;0.0;Graduated_0
11026775;;;36.0;;;;;;;;23.0;;66.0;;;75.0;71.0;;;79.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;56.0;37.0;;33.0;;;;;;;;Discontinued
11026813;;;30.0;50.0;;;27.0;;;;50.0;91.0;59.0;42.0;53.0;52.0;63.0;45.0;46.0;65.0;45.0;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;34.0;50.0;;0.0;;;;;;;;Discontinued
11026848;57.0;66.0;;51.0;;75.0;52.0;;;69.0;;69.0;;;;;;;;;60.0;71.0;;;50.0;;;;53.0;;50.0;;;70.0;;;;40.0;89.0;62.0;;50.0;;;69.0;68.0;;59.0;;61.0;51.0;;50.0;72.0;0.0;Graduated_0
11026945;58.0;42.0;67.0;;;85.0;;79.0;;;75.0;91.0;;;;;;;;;58.0;75.0;;;;;;;;;75.0;;;;;;66.0;;66.0;65.0;;58.0;;;88.0;67.0;;70.0;;61.0;56.0;;66.0;53.0;;Graduated_1
11027216;62.0;71.0;;64.0;73.0;71.0;63.0;;61.0;61.0;;97.0;;;;;;;;;75.0;70.0;88.0;70.0;68.0;79.0;79.0;72.0;70.0;0.0;59.0;60.0;77.0;70.0;69.0;67.0;;50.0;75.0;70.0;;50.0;;;69.0;80.0;;52.0;;59.0;54.0;;72.0;62.0;0.0;Graduated_0
11027224;55.0;69.0;;50.0;;;66.0;;68.0;51.0;;83.0;65.0;66.0;65.0;64.0;65.0;64.0;75.0;71.0;66.0;64.0;69.0;75.0;65.0;67.0;70.0;73.0;71.0;0.0;63.0;80.0;64.0;67.0;88.0;73.0;;55.0;;;;59.0;;;52.0;41.0;;50.0;;71.0;66.0;;58.0;62.0;0.0;Graduated_1
11027241;66.0;55.0;;50.0;;87.0;51.0;;;54.0;;89.0;;;;;;;;;56.0;73.0;;;62.0;;;;81.0;;61.0;;;74.0;;;;48.0;77.0;86.0;;55.0;;;58.0;64.0;69.0;43.0;;52.0;60.0;;51.0;60.0;0.0;Graduated_0
11027372;51.0;;62.0;;;81.0;;62.0;;;71.0;81.0;;;;;;;;;75.0;;;;;;;;62.0;;;;;;;;55.0;;76.0;67.0;;58.0;50.0;0.0;72.0;69.0;;68.0;;75.0;68.0;;70.0;75.0;;Graduated_0
11027445;73.0;;65.0;;89.0;86.0;;77.0;;;79.0;96.0;;;;;;;;;63.0;;;;;;;;67.0;;;;;;;;61.0;;75.0;73.0;;62.0;62.0;0.0;80.0;85.0;;77.0;;84.0;85.0;;82.0;79.0;;Graduated_0
11027585;;;;50.0;;78.0;29.0;;;50.0;;97.0;;;;;;;;;64.0;;73.0;;;;;;93.0;;;;;53.0;;;;44.0;57.0;50.0;;45.0;;;36.0;44.0;;52.0;;;;;;;0.0;Graduated (T)
11027674;;;37.0;;;;;;;;37.0;;63.0;;;52.0;61.0;;;55.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;36.0;52.0;;33.0;;;;;;;;Graduated (T)
11027925;57.0;79.0;53.0;;;82.0;;66.0;;;72.0;87.0;;;;;;;;;73.0;70.0;;;;;;;;;63.0;;;;;;60.0;;68.0;80.0;;65.0;;;64.0;66.0;;59.0;;58.0;69.0;;59.0;67.0;;Graduated_1
11028182;92.0;78.0;;65.0;;82.0;71.0;;80.0;84.0;;83.0;;;;;;;;;69.0;74.0;;84.0;69.0;83.0;77.0;84.0;75.0;0.0;83.0;78.0;86.0;88.0;85.0;78.0;;57.0;85.0;77.0;;63.0;;;79.0;85.0;;75.0;;92.0;85.0;;91.0;91.0;0.0;Graduated_1
11028272;59.0;64.0;;58.0;;81.0;62.0;;70.0;57.0;;96.0;;;;;;;;;77.0;69.0;77.0;50.0;66.0;68.0;36.0;65.0;74.0;0.0;57.0;55.0;61.0;56.0;62.0;60.0;;0.0;76.0;61.0;;61.0;;;71.0;61.0;;56.0;;62.0;40.0;;57.0;57.0;0.0;Active (BEng)
11028352;65.0;52.0;;58.0;;81.0;58.0;;53.0;57.0;;98.0;;;;;;;;;73.0;68.0;76.0;56.0;63.0;80.0;60.0;59.0;79.0;0.0;69.0;73.0;76.0;78.0;72.0;69.0;;59.0;78.0;62.0;;58.0;;;68.0;70.0;;64.0;;71.0;71.0;;75.0;75.0;0.0;Graduated_0
11028590;55.0;71.0;;52.0;;86.0;54.0;;57.0;67.0;;97.0;;;;;;;;;59.0;75.0;90.0;71.0;65.0;71.0;61.0;70.0;61.0;0.0;50.0;54.0;71.0;73.0;61.0;55.0;58.0;;81.0;61.0;58.0;27.0;;;83.0;55.0;;50.0;;61.0;50.0;;58.0;54.0;0.0;Active (BEng)
11028662;50.0;;50.0;;;77.0;;50.0;;;72.0;78.0;;;;;;;;;67.0;;;;;;;;73.0;;;;;;;;37.0;50.0;54.0;66.0;;50.0;40.0;0.0;62.0;40.0;;50.0;53.0;42.0;50.0;67.0;43.0;55.0;;Graduated_1
11028701;85.0;80.0;;77.0;;79.0;69.0;;85.0;81.0;;99.0;;;;;;;;;72.0;82.0;82.0;89.0;91.0;91.0;80.0;86.0;70.0;0.0;83.0;92.0;98.0;93.0;97.0;90.0;;60.0;82.0;71.0;;70.0;;;75.0;85.0;;70.0;;95.0;86.0;;94.0;93.0;0.0;Graduated_1
11028727;58.0;59.0;75.0;;;75.0;;59.0;54.0;63.0;;92.0;;;;;;;;;68.0;79.0;;;;;;;58.0;;;;;;;;;;76.0;68.0;55.0;38.0;50.0;;87.0;64.0;;66.0;64.0;43.0;52.0;;56.0;57.0;0.0;Graduated_1
11029197;51.0;32.0;50.0;;70.0;77.0;58.0;48.0;;;57.0;96.0;;;;;;;;;42.0;66.0;;;35.0;;;;50.0;;50.0;;;45.0;;;50.0;;64.0;84.0;;55.0;;;64.0;46.0;;50.0;55.0;40.0;52.0;;54.0;54.0;;Discontinued
11029308;63.0;69.0;;58.0;;78.0;58.0;;;56.0;;94.0;;;;;;;;;51.0;69.0;;;58.0;;;;76.0;;50.0;;;63.0;;;57.0;45.0;77.0;77.0;63.0;45.0;;;62.0;69.0;;50.0;;50.0;59.0;;59.0;55.0;0.0;Discontinued
11029596;;;;0.0;;;;;;36.0;;;50.0;;;58.0;;;;59.0;;;;;;;;;;;;;;;;;;;;;;;;;57.0;40.0;;31.0;;;;;;;0.0;Graduated (T)
11029766;52.0;50.0;;54.0;;;51.0;;41.0;50.0;;93.0;66.0;57.0;51.0;61.0;65.0;65.0;55.0;64.0;42.0;73.0;;;;;;;0.0;;37.0;;51.0;;;;50.0;42.0;;;;51.0;;;55.0;66.0;;50.0;;58.0;50.0;62.0;40.0;55.0;0.0;Graduated_2
11029961;45.0;60.0;;50.0;;;47.0;53.0;;50.0;;71.0;50.0;52.0;48.0;62.0;62.0;52.0;50.0;63.0;50.0;62.0;;;55.0;;;;55.0;;54.0;;;37.0;;;36.0;50.0;;;50.0;36.0;;;53.0;58.0;51.0;36.0;;50.0;50.0;;56.0;50.0;0.0;Graduated_2
11030110;50.0;52.0;26.0;0.0;;;50.0;;25.0;50.0;;89.0;43.0;63.0;66.0;50.0;50.0;55.0;62.0;77.0;66.0;0.0;56.0;56.0;50.0;50.0;50.0;50.0;;0.0;50.0;50.0;50.0;51.0;56.0;50.0;;0.0;;;52.0;37.0;;;50.0;42.0;59.0;44.0;;27.0;40.0;50.0;0.0;50.0;0.0;Active (BEng)
